restaurant_name,address,city,postal_code,country,price_range,cuisine_type,description,facilities_services,credit_cards,phone_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,url
O Me O Il Mare – Gragnano - a MICHELIN Guide Restaurant,Via Roma 45/47,Gragnano,80054,ITA,€€€€,"Italian Contemporary, Modern Cuisine","After many years’ experience in Michelin-starred restaurants, Luigi Tramontano and his wife Nicoletta have opened their first restaurant in the chef’s native Gargnano. Previously a pasta factory, ...","Air conditioning, Interesting wine list, Wheelchair access","amex, dinersclub, mastercard, visa",+39 081 620 0550,40.6916293,14.5157334,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/campania/gragnano/restaurant/o-me-o-il-mare
Alessandro Feo – Marina di Casal Velino - a MICHELIN Guide Restaurant,via Angelo Lista 24,Marina di Casal Velino,84040,ITA,€€,"Campanian, Seafood","In a beautiful stone-vaulted building (an old 17C monastery) on the town’s seafront promenade, young owner-chef Alessandro Feo has made his mark in this region that perhaps has fewer gourmet ...",,"amex, dinersclub, mastercard, visa",+39 328 893 7083,40.1769364,15.1212550,19:30-23:30,19:30-23:30,closed,19:30-23:30,19:30-23:30,19:30-23:30,"12:30-14:30, 19:30-23:30",https://guide.michelin.com/en/campania/marina-di-casal-velino/restaurant/alessandro-feo
Dama – Cervesina - a MICHELIN Guide Restaurant,"Via Mulino, località San Gaudenzio",Cervesina,27050,ITA,€€€,Modern Cuisine,"Situated just a few kilometres from Voghera in the Bassa Lomellina area, this gourmet restaurant run by a young chef occupies the old stables of the Castello di San Gaudenzio. Alongside local ...","Garden or park, Wheelchair access","amex, mastercard, visa",+39 0383 3331,45.0476388,9.0062926,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/lombardia/cervesina/restaurant/dama-1213583
Il Ristorante Alain Ducasse Napoli – Naples - a MICHELIN Guide Restaurant,Via Cristoforo Colombo 45,Naples,80133,ITA,€€€€,"Creative, Mediterranean Cuisine","Alain Ducasse, one of the great names in contemporary fine dining, has arrived in Naples, opening this restaurant in the former premises of the prestigious Ristorante Il Comandante. Situated on ...","Air conditioning, Great view, Interesting wine list","amex, dinersclub, discover, maestrocard, mastercard, visa",+39 081 604 1580,40.8402770,14.2555922,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/campania/napoli/restaurant/il-ristorante-alain-ducasse-napoli
Palazzo Utini – Noceto - a MICHELIN Guide Restaurant,via Antonio Gramsci 6,Noceto,43015,ITA,€€€€,"Creative, Contemporary",This historic building in the town centre has been brought back to life by the family of local entrepreneurs who bought it years ago and who have given the restaurant their name. Now an exclusive ...,"Air conditioning, Interesting wine list, Wheelchair access","amex, dinersclub, mastercard, visa",+39 0521 152 1001,44.8087145,10.1788721,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/emilia-romagna/noceto_1827072/restaurant/palazzo-utini
Soul & Fish – Sorrento - a MICHELIN Guide Restaurant,via Marina Grande,Sorrento,80067,ITA,€€€,Seafood,"From the centre of Sorrento, you follow a succession of roads downhill to Marina Grande, the town’s old, picturesque fishing village that is well worth a visit. Here, facing the water, you’ll find...",Terrace,"amex, mastercard, visa",+39 081 878 2170,40.6278681,14.3644213,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/campania/sorrento/restaurant/soul-fish
Etra – Genoa - a MICHELIN Guide Restaurant,piazza De Ferrari 4,Genoa,16121,ITA,€€€,"Creative, Italian Contemporary","Etra is an anagram of the Italian word “arte” – an apt name for this restaurant, which is housed in Palazzo Doria De Fornari on the beautiful and famous Piazza Ferrari. This palazzo is one of ...",Air conditioning,"amex, dinersclub, mastercard, visa",+39 010 731 6733,44.4081985,8.9341693,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/liguria/genova/restaurant/etra
La Trattoria Enrico Bartolini – Castiglione della Pescaia - a MICHELIN Guide Restaurant,Località Badiola,Castiglione della Pescaia,58043,ITA,€€€€,"Mediterranean Cuisine, Grills","After a majestic picture-postcard approach via a long avenue lined with cypress trees and maritime pines, passing vineyards and Maremma cattle along the way, you finally arrive at this restaurant ...","Air conditioning, Car park, Garden or park, Interesting wine list, Terrace","amex, mastercard, visa",+39 0564 944322,42.7882300,10.9712200,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/toscana/castiglione-della-pescaia/restaurant/la-trattoria-enrico-bartolini
LoRo – Trescore Balneario - a MICHELIN Guide Restaurant,via Bruse 2,Trescore Balneario,24069,ITA,€€€,Creative,"The cuisine served at LoRo is imaginative both in its presentation and its ingredients, which are combined in light, original and healthy (in the best sense of the word) dishes. The focus here is ...","Air conditioning, Car park","amex, maestrocard, mastercard, visa",+39 347 761 4728,45.6938611,9.8324198,closed,"12:00-14:00, 19:15-22:00","12:00-14:00, 19:15-22:00","12:00-14:00, 19:15-22:00","12:00-14:00, 19:15-22:00","12:00-14:00, 19:15-22:00","12:00-14:00, 19:15-22:00",https://guide.michelin.com/en/lombardia/trescore-balneario/restaurant/loro
20Tre – Genoa - a MICHELIN Guide Restaurant,via David Chiossone 20 r,Genoa,16123,ITA,€€,"Farm to table, Modern Cuisine","Situated in the heart of Genoa’s historic centre, this contemporary-style restaurant focuses on just a few dishes, almost all fish-based, presented in a very modern style and in generous portions....",Air conditioning,"amex, dinersclub, mastercard, visa",+39 010 247 6191,44.4087805,8.9331148,"12:30-14:00, 20:00-22:00","12:30-14:00, 20:00-22:00","12:30-14:00, 20:00-22:00","12:30-14:00, 20:00-22:00","12:30-14:00, 20:00-22:00",20:00-22:00,closed,https://guide.michelin.com/en/liguria/genova/restaurant/20tre
